순번,영화명,감독,제작사,수입사,배급사,개봉일,영화유형,영화형태,국적,전국,전국,전국,서울,서울,장르,등급,영화구분
,,,,,,,,,,스크린수,매출액,관객수,매출액,관객수,,,
1,극한직업,이병헌,"(주)어바웃잇,영화사 해그림 주식회사,(주)씨제이이엔엠",,(주)씨제이이엔엠,2019-01-23,개봉영화,장편,한국,"1,978","139,647,979,516","16,264,944","31,858,660,536","3,638,287",코미디,15세이상관람가,일반영화
2,신과함께-인과 연,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2018-08-01,개봉영화,장편,한국,"2,235","102,476,768,809","12,253,247","22,905,551,759","2,636,542",판타지,12세이상관람가,일반영화
3,기생충,봉준호,(주)바른손이앤에이,,(주)씨제이이엔엠,2019-05-30,개봉영화,장편,한국,"1,948","85,883,963,645","10,085,275","23,443,568,915","2,692,855",드라마,15세이상관람가,일반영화
4,엑시트,이상근,"(주)외유내강,(주)필름케이",,(주)씨제이이엔엠,2019-07-31,개봉영화,장편,한국,"1,660","79,232,012,162","9,426,011","18,533,549,352","2,132,869",코미디,12세이상관람가,일반영화
5,백두산,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠",,"(주)씨제이이엔엠,(주)덱스터스튜디오",2019-12-19,개봉영화,장편,한국,"1,971","52,905,789,770","6,290,502","11,465,394,430","1,318,183",어드벤처,12세이상관람가,일반영화
6,신과함께-죄와 벌,김용화,"리얼라이즈픽쳐스(주),(주)덱스터스튜디오",,롯데쇼핑㈜롯데엔터테인먼트,2017-12-20,개봉영화,장편,한국,"1,912","47,348,157,705","5,871,259","11,206,299,005","1,361,799",판타지,12세이상관람가,일반영화
7,안시성,김광식,"(주)영화사수작,(주)스튜디오앤뉴,모티브픽쳐스(주)",,(주)넥스트엔터테인먼트월드(NEW),2018-09-19,개봉영화,장편,한국,"1,540","46,335,334,026","5,440,186","10,028,662,426","1,146,191",사극,12세이상관람가,일반영화
8,완벽한 타인,이재규,"(주)필름몬스터,드라마하우스(주)",,롯데컬처웍스(주)롯데엔터테인먼트,2018-10-31,개봉영화,장편,한국,"1,313","44,356,752,474","5,294,119","11,870,044,374","1,373,292",드라마,15세이상관람가,일반영화
9,1987,장준환,(주)우정필름,,(주)씨제이이엔엠,2017-12-27,개봉영화,장편,한국,"1,299","42,911,577,108","5,289,561","10,812,800,608","1,303,525",드라마,15세이상관람가,일반영화
10,독전,이해영,"(주)용필름,보야저필름",,(주)넥스트엔터테인먼트월드(NEW),2018-05-22,개봉영화,장편,한국,"1,357","43,484,892,913","5,063,620","10,658,158,413","1,201,461",범죄,15세이상관람가,일반영화
11,공작,윤종빈,"(주)영화사 월광,(주)사나이픽처스",,(주)씨제이이엔엠,2018-08-08,개봉영화,장편,한국,"1,317","42,759,410,176","4,971,261","10,296,507,676","1,158,151",드라마,12세이상관람가,일반영화
12,봉오동 전투,원신연,"(주)빅스톤픽쳐스,(주)더블유픽처스,(주)쇼박스",,(주)쇼박스,2019-08-07,개봉영화,장편,한국,"1,476","40,514,276,538","4,779,501","7,782,799,628","891,383",사극,15세이상관람가,일반영화
13,나쁜 녀석들: 더 무비,손용호,"(주)씨제이이엔엠,(주)영화사비단길",,(주)씨제이이엔엠,2019-09-11,개봉영화,장편,한국,"1,511","39,560,195,124","4,573,902","8,008,441,184","905,239",범죄,15세이상관람가,일반영화
14,암수살인,김태균,"(주)필름295,(주)블러썸픽쳐스",,(주)쇼박스,2018-10-03,개봉영화,장편,한국,"1,177","32,855,895,548","3,772,620","7,777,232,448","862,386",범죄,15세이상관람가,일반영화
15,국가부도의 날,최국희,영화사 집,,(주)씨제이이엔엠,2018-11-28,개봉영화,장편,한국,"1,180","30,891,765,837","3,754,983","7,993,870,137","937,443",드라마,12세이상관람가,일반영화
16,82년생 김지영,김도영,(주)봄바람영화사,,롯데컬처웍스(주)롯데엔터테인먼트,2019-10-23,개봉영화,장편,한국,"1,486","30,298,542,310","3,678,156","8,396,050,370","994,663",드라마,12세이상관람가,일반영화
17,그것만이 내 세상,최성현,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2018-01-17,개봉영화,장편,한국,862,"27,441,213,382","3,417,629","6,258,257,482","759,455",코미디,12세이상관람가,일반영화
18,돈,박누리,"(주)사나이픽처스,(주)영화사 월광",,(주)쇼박스,2019-03-20,개봉영화,장편,한국,"1,431","28,869,614,062","3,389,035","7,287,586,982","833,513",범죄,15세이상관람가,일반영화
