영화명,영화명(영문),제작연도,제작국가,유형,장르,제작상태,감독,제작사
내 친한 친구의 아침식사,My Best Friend's Breakfast,2022,대만,장편,멜로/로맨스,개봉예정,두정철,
탑,WALK UP,2021,한국,장편,드라마,개봉예정,홍상수,(주)영화제작전원사 
요정,,2022,한국,장편,드라마,기타,신택수,한국예술종합학교 산학협력단
루팡의 딸 극장판,Daughter of Lupin The Movie,2021,일본,장편,"판타지,액션",개봉예정,타케우치 히데키,
심야카페: 미씽 허니,Cafe Midnight,2021,한국,장편,"멜로/로맨스,판타지",개봉예정,정윤수,(주)케이드래곤
양성인간,Born to Be Human,2021,대만,장편,드라마,기타,,
몬스터 신부: 101번째 프로포즈,How to Save the Immortal,2022,"헝가리,러시아",장편,"애니메이션,코미디,판타지,어드벤처",개봉예정,,
첫번째 아이,First Child,2021,한국,장편,드라마,개봉예정,허정재,화원
세이레,Seire,2021,한국,장편,"드라마,공포(호러),미스터리",개봉예정,박강,
컴백홈,Come Back Home,2022,한국,장편,"드라마,코미디",개봉,이연우,"(주)슬기로운늑대,(유)조이앤시네마"
낮과 달,The Cave,2021,한국,장편,드라마,개봉,이영아,한국영화아카데미
크리스마스 캐럴,christmas carol,2022,한국,장편,"드라마,액션",개봉준비,김성수,(주)화인컷
가재가 노래하는 곳,Where the Crawdads Sing,2021,미국,장편,드라마,개봉예정,올리비아 뉴먼,
백두산,ASHFALL,2019,한국,장편,"어드벤처,드라마",개봉,"이해준,김병서","주식회사 덱스터 픽쳐스,(주)퍼펙트스톰필름,(주)씨제이이엔엠"
킹덤2: 아득한 대지로,Kingdom2,2022,미국,장편,"액션,전쟁",개봉예정,사토 신스케,
극장판 유루캠△,LAID-BACK CAMP THE MOVIE,2022,일본,장편,"애니메이션,드라마",개봉예정,,
고속도로 가족,Highway Family,2022,한국,장편,드라마,개봉예정,이상문,"(주)영화사 설렘,(주)고고스튜디오"
프레스 플레이,Press Play,2021,미국,장편,"멜로/로맨스,드라마,판타지",개봉,그렉 비요크만,(주)씨제이이엔엠
살인청부업자,HIT MAN,2022,한국,장편,"범죄,스릴러",개봉예정,강태호,(주)피터팬픽쳐스
썬더버드,THUNDERBIRD,2021,한국,장편,드라마,개봉,이재원,한국영화아카데미
모자산책,,2022,한국,장편,드라마,개봉예정,조성규,(주)와우
동백정원,A Garden of the Camellias,2020,일본,장편,드라마,기타,,
생일선물,Happy Birthday to You,2021,한국,단편,드라마,기타,"정재익,서태수",
주문진에서 주윤발을 만난다면,JUJUMAN - If you meet Chow Yun-Fat at Jumunjin,2021,한국,단편,"드라마,가족",기타,이새윤,버드커뮤니케이션
스트레인지 월드,Strange World,2022,미국,장편,애니메이션,개봉예정,"돈 홀,퀴 응우옌",
킹 VS 몬스터,Alien Kong,2021,미국,장편,액션,기타,다니엘 러스코,
죽어도 자이언츠,Giants 'Til I Die,2022,한국,장편,다큐멘터리,개봉예정,이동윤,
옆집사람,Next Door,2022,한국,장편,"스릴러,코미디",개봉예정,염지호,
괴인,a Wild Roomer,2022,한국,장편,드라마,기타,,
강남좀비,,2021,한국,장편,드라마,촬영진행,이수성,"㈜리필름,(유)조이앤시네마"
압꾸정,MEN OF PLASTIC,2022,한국,장편,"코미디,드라마",개봉예정,임진순,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트"
알카라스의 여름,Alcarras,2022,스페인,장편,드라마,개봉예정,카를라 시몬,
에브리띵 윌 체인지,Everything Will Change,2021,독일,장편,"SF,드라마",개봉예정,,
시간을 꿈꾸는 소녀,Girl who dreams about time,2022,한국,장편,다큐멘터리,개봉준비,박혁지,(주)하이하버픽쳐스
맨 온 엣지,Man on the Edge,2022,"홍콩,중국",장편,액션,개봉예정,황명승,
아마겟돈 타임,Armageddon Time,2022,미국,장편,드라마,개봉예정,제임스 그레이,
동행: 10년의 발걸음,Accompany: Hyegwang Blind Orchestra,2022,한국,장편,다큐멘터리,개봉예정,,"닻 프로덕션,(주)디오시네마"
암스테르담,Amsterdam,2022,미국,장편,"코미디,드라마",기타,데이빗 O. 러셀,
통영에서의 하루,,2022,한국,장편,드라마,개봉예정,한경탁,투영필름
자백,Confession,2020,한국,장편,"범죄,스릴러",개봉예정,윤종석,리얼라이즈픽쳐스(주)
리벤지 오브 파이어,Indemnity,2021,남아프리카공화국,장편,액션,기타,,
블랙 사이트,Black Site,2020,호주,장편,액션,개봉예정,,
창극 춘향,,2022,한국,장편,공연,개봉예정,김명곤,문화체육관광부 국립극장
판타스틱 씨네클래스 - 잇다,,2022,한국,옴니버스,다큐멘터리,기타,,
깜빡깜빡,Blinky,2021,한국,단편,"드라마,판타지",기타,임다슬,
수화통역사,The Hands,2021,한국,단편,드라마,기타,정서원,
만인의 연인,Nobody’s Lover,2021,한국,장편,드라마,개봉준비,한인미,(주)시네마달
